subawardee_uei,subawardee_name,entity_url,company_linkedin_url
K7UKW5JLHVC7,"JWF DEFENSE SYSTEMS, LLC",WWW.JWFI.COM,https://linkedin.com/company/jwf-industries
K7UVZ94SDZE3,DELMARVA PETROLEUM SERVICES LLC,https://www.delmarvapetroleumservice.com,https://linkedin.com/company/delmarva-petroleum
K7VBC15L2FD1,LONG OIL HEAT INC,www.longenergy.com,https://linkedin.com/company/long-energy
K7W9V9X38N45,"FORGE GROUP, LLC",www.forgegroupllc.com,https://linkedin.com/company/forge-group-llc
K7WEJQPR6EA3,A. W. BELL PTY. LTD.,www.awbell.com.au,https://linkedin.com/company/a-w-bell-pty-ltd
K7XRYAXC2KL4,"EAGLEPICHER ELECTRONIC PACKAGING, LLC",,
K811G1UBLFD7,"TRESCAL, INC",http://www.trescal.com,https://linkedin.com/company/trescal
K81MMYJR7337,SNOWBIRD TECHNOLOGIES INC.,WWW.SNOWBIRDTECH.COM,https://linkedin.com/company/snowbird-technologies
K826A3K9EMW1,T5 SOLUTIONS LLC,,
K84NBZG5JNJ5,UNITED MINERAL & CHEMICAL CORP,www.umccorp.com,https://linkedin.com/company/united-mineral-&-chemical-corp.
K87JY6GHJ2H1,"BENDON GEAR AND MACHINE, INC",,
K87WE4KQLBG4,"ESCGOV, INC.",http://www.escgov.com,https://linkedin.com/company/escgovinc
K87YQGFZWL39,"ENGINEERED STRUCTURES OF SAN DIEGO, INC",www.cairoconstruction.com,https://linkedin.com/company/cairo-construction-co
K88YFN9PYT96,WINNCOM TECHNOLOGIES CORP,http://www.winncom.com,https://linkedin.com/company/winncom-technologies
K8AUW2NDQQU6,"MICROWAVE POWER PRODUCTS, INC.",http://www.mppinc.com,https://linkedin.com/company/microwave-power-products
K8B9SZTQL921,SIERRA NEVADA ELECTRIC INC,snei.us,
K8BGGBWPMR31,"SEY TEC, INC.",http://www.seytec.com,https://linkedin.com/company/sey-tec
K8CLC9L7ETY5,"ICAT LOGISTICS, INC.",http://www.icatlogistics.com,https://linkedin.com/company/icat-logistics
K8E4CQYCRJ25,ADVANCED STRUCTURES CORPORATION,,
K8E7AWK9FHD4,HPS FABRICATIONS INC,www.hpsfab.com,https://linkedin.com/company/hps-fabrications-inc.
K8GASGJBEXP9,FISHBOWL SOLUTIONS INC,www.fishbowlsolutions.com,https://linkedin.com/company/fishbowl-solutions
K8GBEKSNGCZ9,VARADA CONSULTING LLC,https://varadadefense.com,
K8GFYBB9J8E5,"FITNESS ARTIST, LLC",http://www.fitness-artist.com,https://linkedin.com/company/fitness-artist-llc
K8GGZVKNL967,GRIDIRON IT SOLUTIONS LLC,www.gridironit.com,https://linkedin.com/company/gridiron-it
K8HKFMTENNZ6,BAY TECH INDUSTRIES INC,,
K8HVS634AQS8,BCM ONE INC,http://www.bcmone.com,https://linkedin.com/company/business-communications-management
K8JJBLXANYY9,"CENTURY PRECISION ENGINEERING, INC.",http://www.centurype.com,https://linkedin.com/company/century-precision-engineering
K8KDK8CLT7B7,ANR GROUP INC,http://www.anrgroupinc.com,https://linkedin.com/company/anrgroupinc
K8KVUFQMGYV5,"DARK WOLF SOLUTIONS, LLC",http://www.darkwolfsolutions.com,https://linkedin.com/company/darkwolfsolutions
K8M1X7MJTLV7,AGILIOUS LLC,https://www.agilious.com/,https://linkedin.com/company/agilious
